"","Gene","Module"
"413","ZNF436-AS1","grey"
"414","TCEA3","black"
"415","ASAP3","grey"
"416","E2F2","blue"
"417","LOC101928163","blue"
"418","ID3","purple"
"419","MDS2","turquoise"
"420","RPL11","green"
"421","ELOA","blue"
"422","ELOA-AS1","blue"
"423","PITHD1","grey"
"424","LOC105376860","grey"
"425","LYPLA2","grey"
"426","GALE","brown"
"427","HMGCL","blue"
"428","LOC105376861","turquoise"
"429","FUCA1","brown"
"430","CNR2","magenta"
"431","PNRC2","green"
"432","SRSF10","turquoise"
"433","MYOM3","turquoise"
"434","MYOM3-AS1","turquoise"
"435","IL22RA1","turquoise"
"436","IFNLR1","grey"
"437","GRHL3","grey"
"438","STPG1","turquoise"
"439","NIPAL3","turquoise"
"440","RCAN3","blue"
"441","NCMAP-DT","brown"
"442","NCMAP","turquoise"
"443","SRRM1","blue"
"444","CLIC4","brown"
"445","RUNX3","black"
"446","RUNX3-AS1","blue"
"447","SYF2","grey"
"448","RSRP1","turquoise"
"449","RHD","grey"
"450","TMEM50A","blue"
"451","RHCE","brown"
"452","MACO1","yellow"
"453","LDLRAP1","grey"
"454","MAN1C1","blue"
"455","SELENON","blue"
"456","MTFR1L","brown"
"457","LOC646471","brown"
"458","AUNIP","grey"
"459","PAQR7","blue"
"460","STMN1","blue"
"461","MIR3917","grey"
"462","PAFAH2","grey"
"463","101928216","turquoise"
"464","EXTL1","turquoise"
"465","SLC30A2","grey"
"466","TRIM63","turquoise"
"467","PDIK1L","turquoise"
"468","FAM110D","yellow"
"469","ZNF593","grey"
"470","CNKSR1","brown"
"471","CATSPER4","turquoise"
"472","CEP85","yellow"
"473","SH3BGRL3","green"
"474","UBXN11","brown"
"475","CD52","magenta"
"476","CRYBG2","yellow"
"477","ZNF683","brown"
"478","LIN28A","blue"
"479","DHDDS","yellow"
"480","DHDDS-AS1","blue"
"481","HMGN2","turquoise"
"482","RPS6KA1","brown"
"483","LOC101928728","turquoise"
"484","ARID1A","green"
"485","PIGV","blue"
"486","ZDHHC18","grey"
"487","SFN","blue"
"488","GPN2","blue"
"489","GPATCH3","blue"
"490","NUDC","blue"
"491","NR0B2","turquoise"
"492","KDF1","red"
"493","TRNP1","turquoise"
"494","TENT5B","blue"
"495","LOC101928391","greenyellow"
"496","SLC9A1","grey"
"497","WDTC1","grey"
"498","TMEM222","blue"
